2020-11-03 11:04:19 INFO  Log4j:34 - 
Inside TestNG > @BeforeSuite
2020-11-03 11:04:20 INFO  Log4j:58 - 
Inside TestNG > @DataProvider
2020-11-03 11:04:20 INFO  Log4j:50 - 
Inside TestNG > @Test
2020-11-03 11:04:20 INFO  Log4j:240 - Logger initialized and writing using logger
2020-11-03 11:04:20 INFO  Log4j:241 - 
Inside setup
2020-11-03 11:04:28 INFO  Log4j:54 - It is in else If block
2020-11-03 11:04:36 INFO  Log4j:204 - Launching site .. 
2020-11-03 11:04:36 INFO  Log4j:206 - Trying to login with Username:
2020-11-03 11:04:38 INFO  Log4j:210 - Trying to login with Password:
2020-11-03 11:04:39 INFO  Log4j:213 - Clicking on login button 
2020-11-03 11:05:51 INFO  Log4j:48 - Total number of rows present in the sheet: 249
2020-11-03 11:05:51 INFO  Log4j:50 - Total number of columns present in the sheet: 3
2020-11-03 11:05:51 INFO  Log4j:55 - Africa and The Middle East
2020-11-03 11:05:51 INFO  Log4j:70 - Country name list: [Algeria]
2020-11-03 11:05:51 INFO  Log4j:77 - sub_region : {MENA=[Algeria]}
2020-11-03 11:05:51 INFO  Log4j:99 - Region data : {Africa and The Middle East={MENA=[Algeria]}}
2020-11-03 11:05:51 INFO  Log4j:55 - Africa and The Middle East
2020-11-03 11:05:51 INFO  Log4j:85 - [Algeria]
2020-11-03 11:05:51 INFO  Log4j:91 - Country name list: [Algeria, Bahrain]
2020-11-03 11:05:51 INFO  Log4j:94 - sub_region list: {MENA=[Algeria, Bahrain]}
2020-11-03 11:05:51 INFO  Log4j:99 - Region data : {Africa and The Middle East={MENA=[Algeria, Bahrain]}}
2020-11-03 11:05:51 INFO  Log4j:55 - Africa and The Middle East
2020-11-03 11:05:51 INFO  Log4j:85 - [Algeria, Bahrain]
2020-11-03 11:05:51 INFO  Log4j:91 - Country name list: [Algeria, Bahrain, Egypt]
2020-11-03 11:05:51 INFO  Log4j:94 - sub_region list: {MENA=[Algeria, Bahrain, Egypt]}
2020-11-03 11:05:51 INFO  Log4j:99 - Region data : {Africa and The Middle East={MENA=[Algeria, Bahrain, Egypt]}}
2020-11-03 11:05:51 INFO  Log4j:55 - Africa and The Middle East
2020-11-03 11:05:51 INFO  Log4j:85 - [Algeria, Bahrain, Egypt]
2020-11-03 11:05:51 INFO  Log4j:91 - Country name list: [Algeria, Bahrain, Egypt, Iran (Islamic Republic of)]
